"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7218,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0240000000000009,NA,NA,0.00333333333333333,0.00333333333333333,0.01552420735284,1,30000,100,FALSE,FALSE,NA
7218,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0319999999999965,NA,NA,0.00666666666666667,0.00666666666666667,0.0405477997228057,1,30000,100,FALSE,FALSE,NA
7218,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0450000000000017,NA,NA,0.00666666666666667,0.00666666666666667,0.0302966754161813,1,30000,100,FALSE,FALSE,NA
7218,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00199999999999534,NA,0.18,0.18,0.355444793960082,1,30000,100,FALSE,FALSE,NA
7219,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.356000000000002,0.234999999999999,0.0186920166015625,0.0433333333333333,0.0588235294117647,0.0433333333333333,0.736666666666667,9600,32,FALSE,FALSE,NA
7219,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.356000000000002,0.345000000000006,0.0191574096679688,0.136666666666667,0.15018315018315,0.136666666666667,0.91,9600,32,FALSE,FALSE,NA
7219,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.356000000000002,0.243000000000002,0.019744873046875,0.156666666666667,0.156666666666667,0.156666666666667,1,9600,32,FALSE,FALSE,NA
7219,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.356000000000002,NA,NA,0.02,0.02,0.0619864627449982,1,30000,100,FALSE,FALSE,NA
7219,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.334000000000003,NA,NA,0,0,0.00554204129204129,0.04,30000,100,FALSE,TRUE,NA
7219,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0219999999999985,NA,NA,0,0,0.0103681192572277,1,30000,100,FALSE,FALSE,NA
7219,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0339999999999989,NA,NA,0.00666666666666667,0.00666666666666667,0.023061512972511,1,30000,100,FALSE,FALSE,NA
